"=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.label"", ""label"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""RSZBlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""RZBlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""CPlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""SZlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""Slabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.standard"", ""name"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.level"", ""level"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.index"", ""index"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.genus"", ""genus"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.gonality"", ""q_gonality_bounds"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cusps"", ""cusps"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cusps"", ""rational_cusps"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cm_discriminants"", ""cm_discriminants"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/ag.conductor"", ""conductor"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.simple"", ""simple"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/av.squarefree"", ""squarefree"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.contains_negative_one"", ""contains_negative_one"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.decomposition"", ""dims"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.models"", ""models"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.known_points"", ""num_known_degree1_points"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.local_obstruction"", ""pointless"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.level_structure"", ""generators"")"
8.48.2.a.1,8.48.2.1,X357,8A2,,,,8,48,2,"[2, 2]",6,4,[],"[[2, 12]]",True,True,True,"[[2], [1]]",3,1,False,"[[1, 0, 0, 3], [1, 0, 0, 7], [3, 4, 0, 3], [5, 4, 0, 5], [7, 4, 4, 5]]"
9.36.2.a.1,9.36.2.1,,9A2,,,,9,36,2,"[2, 2]",4,2,[],"[[3, 8]]",True,True,True,"[[2], [1]]",3,1,False,"[[2, 6, 6, 2], [4, 0, 0, 2]]"
9.54.2.b.1,9.54.2.2,,9B2,,,,9,54,2,"[2, 2]",6,0,[],"[[3, 8]]",True,True,True,"[[2], [1]]",3,0,,"[[1, 6, 2, 8], [4, 2, 0, 5]]"
10.60.2.c.1,10.60.2.3,,10C2,,,,10,60,2,"[2, 2]",6,2,[],"[[2, 4], [5, 4]]",True,True,True,"[[2], [1]]",3,1,False,"[[1, 1, 0, 3], [2, 3, 5, 8]]"
12.48.2.a.1,12.48.2.6,,12F2,,,,12,48,2,"[2, 2]",6,6,[],"[[2, 8], [3, 2]]",True,True,True,"[[2], [1]]",3,1,False,"[[1, 6, 6, 7], [5, 4, 6, 5], [5, 6, 0, 5], [5, 8, 6, 1], [11, 8, 0, 11]]"
12.48.2.a.2,12.48.2.5,,12F2,,,,12,48,2,"[2, 2]",6,6,[],"[[2, 8], [3, 2]]",True,True,True,"[[2], [1]]",3,1,False,"[[1, 8, 6, 5], [5, 10, 6, 7], [7, 2, 0, 1], [7, 10, 0, 7], [11, 6, 0, 7]]"
12.48.2.b.1,12.48.2.16,,12F2,,,,12,48,2,"[2, 2]",6,2,[],"[[2, 8], [3, 2]]",True,True,True,"[[2], [1]]",3,1,False,"[[5, 9, 6, 5], [7, 2, 0, 11], [7, 5, 0, 1], [11, 8, 0, 11]]"
12.48.2.b.2,12.48.2.15,,12F2,,,,12,48,2,"[2, 2]",6,2,[],"[[2, 8], [3, 2]]",True,True,True,"[[2], [1]]",3,1,False,"[[5, 0, 0, 1], [5, 5, 6, 1], [7, 0, 0, 11], [11, 3, 0, 1]]"
13.84.2.b.1,13.84.2.5,,13A2,,13B.12.2,,13,84,2,"[2, 2]",12,6,[],"[[13, 2]]",True,True,True,"[[2], [1]]",3,1,False,"[[6, 10, 0, 1], [8, 7, 0, 12]]"
13.84.2.b.2,13.84.2.1,,13A2,,13B.12.1,Xpm1(13),13,84,2,"[2, 2]",12,6,[],"[[13, 2]]",True,True,True,"[[2], [1]]",3,1,False,"[[1, 12, 0, 11], [12, 4, 0, 5]]"
14.48.2.b.1,14.48.2.8,,14E2,,,,14,48,2,"[2, 2]",6,0,[],"[[2, 2], [7, 4]]",True,True,True,"[[2], [1]]",3,0,,"[[3, 9, 5, 0], [9, 1, 1, 2]]"
14.48.2.c.1,14.48.2.2,,14D2,,,,14,48,2,"[2, 2]",6,3,[],"[[2, 4], [7, 2]]",True,True,True,"[[2], [1]]",3,1,False,"[[9, 11, 7, 6], [11, 9, 1, 12]]"
14.48.2.c.2,14.48.2.4,,14D2,,,,14,48,2,"[2, 2]",6,3,[],"[[2, 4], [7, 2]]",True,True,True,"[[2], [1]]",3,1,False,"[[3, 3, 11, 2], [12, 5, 11, 13]]"
14.48.2.e.1,14.48.2.3,,14D2,,,,14,48,2,"[2, 2]",6,3,[],"[[2, 4], [7, 4]]",True,True,True,"[[2], [1]]",3,1,False,"[[4, 9, 1, 5], [9, 13, 4, 11]]"
14.48.2.e.2,14.48.2.5,,14D2,,,,14,48,2,"[2, 2]",6,3,[],"[[2, 4], [7, 4]]",True,True,True,"[[2], [1]]",3,1,False,"[[2, 7, 3, 6], [11, 1, 10, 9]]"
14.63.2.a.1,14.63.2.1,,14F2,,,,14,63,2,"[2, 2]",6,0,"[-4, -8, -16]","[[2, 2], [7, 4]]",True,True,True,"[[2], [1]]",3,3,False,"[[1, 2, 4, 13], [13, 7, 0, 13], [13, 13, 6, 7]]"
15.36.2.a.1,15.36.2.1,,15B2,,,,15,36,2,"[2, 2]",4,2,[],"[[3, 4], [5, 2]]",True,True,True,"[[2], [1]]",3,1,False,"[[1, 8, 7, 7], [5, 14, 11, 13], [8, 8, 10, 11], [8, 13, 7, 4]]"
15.36.2.a.2,15.36.2.2,,15B2,,,,15,36,2,"[2, 2]",4,2,[],"[[3, 4], [5, 2]]",True,True,True,"[[2], [1]]",3,1,False,"[[0, 14, 11, 3], [1, 13, 2, 7], [10, 4, 14, 10], [14, 14, 5, 13]]"
16.24.2.a.1,16.24.2.1,X172,16A2,,,,16,24,2,"[2, 2]",2,2,[],"[[2, 14]]",True,True,True,"[[2], [1]]",3,1,False,"[[1, 9, 14, 11], [5, 6, 0, 15], [9, 1, 14, 9], [11, 15, 10, 11]]"
16.24.2.a.2,16.24.2.2,X174,16A2,,,,16,24,2,"[2, 2]",2,2,[],"[[2, 14]]",True,True,True,"[[2], [1]]",3,1,False,"[[5, 15, 2, 15], [11, 2, 12, 15], [11, 14, 0, 5], [13, 14, 0, 7]]"
16.24.2.b.1,16.24.2.4,X171,16A2,,,,16,24,2,"[2, 2]",2,2,[],"[[2, 16]]",True,True,True,"[[2], [1]]",3,1,False,"[[5, 3, 0, 15], [5, 7, 4, 7], [13, 6, 2, 7], [13, 7, 10, 11]]"
