label,name,level,index,genus,rank,simple,pointless,has_obstruction,obstructions,reason
10.60.2.a.1,,10,60,2,0,False,True,1,[0],local_obstruction
10.60.2.b.1,,10,60,2,0,False,True,1,[0],local_obstruction
12.24.2.a.1,,12,24,2,0,False,True,1,[0],local_obstruction
12.24.2.d.1,,12,24,2,0,False,True,1,[0],local_obstruction
12.36.2.bc.1,,12,36,2,0,False,True,1,[0],local_obstruction
12.36.2.bi.1,,12,36,2,0,False,True,1,[0],local_obstruction
12.36.2.bm.1,,12,36,2,0,False,True,1,[0],local_obstruction
12.36.2.bt.1,,12,36,2,0,False,True,1,[0],local_obstruction
12.36.2.bu.1,,12,36,2,0,False,True,1,[0],local_obstruction
12.36.2.bv.1,,12,36,2,0,False,True,1,[7],local_obstruction
12.36.2.i.1,,12,36,2,0,False,True,1,"[0, 7]",local_obstruction
12.36.2.j.1,,12,36,2,0,False,True,1,[7],local_obstruction
12.36.2.k.1,,12,36,2,0,False,True,1,[0],local_obstruction
12.36.2.m.1,,12,36,2,0,False,True,1,[0],local_obstruction
12.36.2.o.1,,12,36,2,0,False,True,1,[0],local_obstruction
12.36.2.q.1,,12,36,2,0,False,True,1,[0],local_obstruction
12.36.2.r.1,,12,36,2,0,False,True,1,[7],local_obstruction
12.36.2.u.1,,12,36,2,0,False,True,1,[0],local_obstruction
12.36.2.z.1,,12,36,2,0,False,True,1,[0],local_obstruction
12.48.2-12.a.1.1,,12,48,2,0,False,True,1,[],local_obstruction
12.48.2-12.a.1.2,,12,48,2,0,False,True,1,[],local_obstruction
12.48.2-12.a.1.3,,12,48,2,0,False,True,1,[],local_obstruction
12.48.2-12.a.1.4,,12,48,2,0,False,True,1,[],local_obstruction
12.72.2-12.i.1.1,,12,72,2,0,False,True,1,[],local_obstruction
12.72.2-12.i.1.2,,12,72,2,0,False,True,1,[],local_obstruction
12.72.2-12.i.1.3,,12,72,2,0,False,True,1,[],local_obstruction
12.72.2-12.i.1.4,,12,72,2,0,False,True,1,[],local_obstruction
12.72.2-12.j.1.1,,12,72,2,0,False,True,1,[],local_obstruction
12.72.2-12.j.1.2,,12,72,2,0,False,True,1,[],local_obstruction
12.72.2-12.j.1.3,,12,72,2,0,False,True,1,[],local_obstruction
12.72.2-12.j.1.4,,12,72,2,0,False,True,1,[],local_obstruction
12.72.2-12.k.1.1,,12,72,2,0,False,True,1,[],local_obstruction
12.72.2-12.k.1.2,,12,72,2,0,False,True,1,[],local_obstruction
12.72.2-12.k.1.3,,12,72,2,0,False,True,1,[],local_obstruction
12.72.2-12.k.1.4,,12,72,2,0,False,True,1,[],local_obstruction
12.72.2-12.m.1.1,,12,72,2,0,False,True,1,[],local_obstruction
12.72.2-12.m.1.2,,12,72,2,0,False,True,1,[],local_obstruction
12.72.2-12.m.1.3,,12,72,2,0,False,True,1,[],local_obstruction
12.72.2-12.m.1.4,,12,72,2,0,False,True,1,[],local_obstruction
12.72.2-12.o.1.1,,12,72,2,0,False,True,1,[],local_obstruction
12.72.2-12.o.1.2,,12,72,2,0,False,True,1,[],local_obstruction
12.72.2-12.o.1.3,,12,72,2,0,False,True,1,[],local_obstruction
12.72.2-12.o.1.4,,12,72,2,0,False,True,1,[],local_obstruction
12.72.2.g.1,,12,72,2,0,False,True,1,[0],local_obstruction
12.72.2.j.1,,12,72,2,0,False,True,1,[0],local_obstruction
12.72.2.k.1,,12,72,2,0,False,True,1,[0],local_obstruction
12.72.2.n.1,,12,72,2,0,False,True,1,[0],local_obstruction
13.168.2-13.a.1.1,,13,168,2,0,True,True,1,[],local_obstruction
13.168.2-13.a.1.2,,13,168,2,0,True,True,1,[],local_obstruction
13.168.2-13.a.2.1,,13,168,2,0,True,True,1,[],local_obstruction
13.168.2-13.a.2.2,,13,168,2,0,True,True,1,[],local_obstruction
13.168.2-13.b.2.2,X1(13),13,168,2,0,True,False,-1,[],named_family
13.168.2-13.c.1.1,,13,168,2,0,True,True,1,[],local_obstruction
13.168.2-13.c.1.2,,13,168,2,0,True,True,1,[],local_obstruction
13.168.2-13.c.2.1,,13,168,2,0,True,True,1,[],local_obstruction
13.168.2-13.c.2.2,,13,168,2,0,True,True,1,[],local_obstruction
13.84.2.a.1,,13,84,2,0,True,True,1,[2],local_obstruction
13.84.2.a.2,,13,84,2,0,True,True,1,[2],local_obstruction
13.84.2.b.2,Xpm1(13),13,84,2,0,True,False,-1,[],named_family
13.84.2.c.1,,13,84,2,0,True,True,1,[3],local_obstruction
13.84.2.c.2,,13,84,2,0,True,True,1,[3],local_obstruction
14.48.2.d.1,,14,48,2,0,False,True,1,[5],local_obstruction
14.96.2-14.d.1.1,,14,96,2,0,False,True,1,[],local_obstruction
14.96.2-14.d.1.2,,14,96,2,0,False,True,1,[],local_obstruction
15.36.2.b.1,,15,36,2,0,True,True,1,[0],local_obstruction
15.36.2.b.2,,15,36,2,0,True,True,1,[0],local_obstruction
16.192.2-16.l.1.1,X1(16),16,192,2,0,True,False,-1,[],named_family
16.48.2.b.1,,16,48,2,0,False,True,1,"[3, 11]",local_obstruction
