label,name,level,index,genus,rank,simple,pointless,has_obstruction,obstructions,reason
10.30.2.a.1,,10,30,2,0,False,False,-1,[],
10.30.2.b.1,,10,30,2,0,False,False,-1,[],
10.30.2.c.1,,10,30,2,0,False,False,-1,[],
10.30.2.d.1,,10,30,2,0,False,False,-1,[],
10.60.2.c.1,,10,60,2,0,True,False,-1,[],
10.60.2.d.1,,10,60,2,0,False,,0,[],
10.60.2.e.1,,10,60,2,0,False,False,-1,[],
10.60.2.f.1,,10,60,2,0,False,False,-1,[],
10.90.2.a.1,,10,90,2,0,False,False,-1,[],
10.90.2.b.1,,10,90,2,0,False,,0,[],
12.24.2.b.1,,12,24,2,0,False,False,-1,[],
12.24.2.c.1,,12,24,2,0,False,False,-1,[],
12.36.2.a.1,,12,36,2,0,False,False,-1,[],
12.36.2.b.1,,12,36,2,0,False,False,-1,[],
12.36.2.ba.1,,12,36,2,0,False,False,-1,[],
12.36.2.bb.1,,12,36,2,0,False,False,-1,[],
12.36.2.bd.1,,12,36,2,0,False,False,-1,[],
12.36.2.be.1,,12,36,2,0,False,False,-1,[],
12.36.2.bf.1,,12,36,2,0,False,False,-1,[],
12.36.2.bg.1,,12,36,2,0,False,False,-1,[],
12.36.2.bh.1,,12,36,2,0,False,False,-1,[],
12.36.2.bj.1,,12,36,2,0,False,False,-1,[],
12.36.2.bk.1,,12,36,2,0,False,False,-1,[],
12.36.2.bl.1,,12,36,2,0,False,False,-1,[],
12.36.2.bn.1,,12,36,2,0,False,,0,[],
12.36.2.bo.1,,12,36,2,0,False,,0,[],
12.36.2.bp.1,,12,36,2,0,False,,0,[],
12.36.2.bq.1,,12,36,2,0,False,,0,[],
12.36.2.br.1,,12,36,2,0,False,,0,[],
12.36.2.bs.1,,12,36,2,0,False,,0,[],
12.36.2.bw.1,,12,36,2,0,False,False,-1,[],
12.36.2.bx.1,,12,36,2,0,False,False,-1,[],
12.36.2.c.1,,12,36,2,0,False,False,-1,[],
12.36.2.d.1,,12,36,2,0,False,False,-1,[],
12.36.2.e.1,,12,36,2,0,False,False,-1,[],
12.36.2.f.1,,12,36,2,0,False,False,-1,[],
12.36.2.g.1,,12,36,2,0,False,False,-1,[],
12.36.2.h.1,,12,36,2,0,False,False,-1,[],
12.36.2.l.1,,12,36,2,0,False,False,-1,[],
12.36.2.n.1,,12,36,2,0,False,False,-1,[],
12.36.2.p.1,,12,36,2,0,False,False,-1,[],
12.36.2.s.1,,12,36,2,0,False,False,-1,[],
12.36.2.t.1,,12,36,2,0,False,False,-1,[],
12.36.2.v.1,,12,36,2,0,False,False,-1,[],
12.36.2.w.1,,12,36,2,0,False,False,-1,[],
12.36.2.x.1,,12,36,2,0,False,False,-1,[],
12.36.2.y.1,,12,36,2,0,False,False,-1,[],
12.48.2-12.b.1.1,,12,48,2,0,False,False,-1,[],
12.48.2-12.b.1.2,,12,48,2,0,False,False,-1,[],
12.48.2-12.b.1.3,,12,48,2,0,False,False,-1,[],
12.48.2-12.b.1.4,,12,48,2,0,False,False,-1,[],
12.48.2.a.1,,12,48,2,0,True,False,-1,[],
12.48.2.a.2,,12,48,2,0,True,False,-1,[],
12.48.2.b.1,,12,48,2,0,True,False,-1,[],
12.48.2.b.2,,12,48,2,0,True,False,-1,[],
12.48.2.c.1,,12,48,2,0,False,False,-1,[],
12.48.2.d.1,,12,48,2,0,False,False,-1,[],
12.48.2.e.1,,12,48,2,0,False,False,-1,[],
12.48.2.f.1,,12,48,2,0,False,False,-1,[],
12.72.2-12.a.1.1,,12,72,2,0,False,False,-1,[],
12.72.2-12.a.1.2,,12,72,2,0,False,False,-1,[],
12.72.2-12.a.1.3,,12,72,2,0,False,False,-1,[],
12.72.2-12.a.1.4,,12,72,2,0,False,False,-1,[],
12.72.2-12.a.1.5,,12,72,2,0,False,False,-1,[],
12.72.2-12.a.1.6,,12,72,2,0,False,False,-1,[],
12.72.2-12.a.1.7,,12,72,2,0,False,False,-1,[],
12.72.2-12.a.1.8,,12,72,2,0,False,False,-1,[],
12.72.2-12.b.1.1,,12,72,2,0,False,False,-1,[],
12.72.2-12.b.1.10,,12,72,2,0,False,False,-1,[],
12.72.2-12.b.1.11,,12,72,2,0,False,False,-1,[],
12.72.2-12.b.1.12,,12,72,2,0,False,False,-1,[],
12.72.2-12.b.1.2,,12,72,2,0,False,False,-1,[],
12.72.2-12.b.1.3,,12,72,2,0,False,False,-1,[],
12.72.2-12.b.1.4,,12,72,2,0,False,False,-1,[],
12.72.2-12.b.1.5,,12,72,2,0,False,False,-1,[],
12.72.2-12.b.1.6,,12,72,2,0,False,False,-1,[],
12.72.2-12.b.1.7,,12,72,2,0,False,False,-1,[],
12.72.2-12.b.1.8,,12,72,2,0,False,False,-1,[],
12.72.2-12.b.1.9,,12,72,2,0,False,False,-1,[],
12.72.2-12.ba.1.1,,12,72,2,0,False,False,-1,[],
12.72.2-12.ba.1.2,,12,72,2,0,False,False,-1,[],
