"=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.label"", ""label"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""RSZBlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""RZBlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""CPlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""SZlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""Slabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.standard"", ""name"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.level"", ""level"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.index"", ""index"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.genus"", ""genus"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.gonality"", ""q_gonality_bounds"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cusps"", ""cusps"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cusps"", ""rational_cusps"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cm_discriminants"", ""cm_discriminants"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/ag.conductor"", ""conductor"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.simple"", ""simple"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/av.squarefree"", ""squarefree"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.contains_negative_one"", ""contains_negative_one"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.decomposition"", ""dims"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.models"", ""models"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.known_points"", ""num_known_degree1_points"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.local_obstruction"", ""pointless"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.level_structure"", ""generators"")"
30.120.5.bn.1,30.120.5.37,,30Q5,,,Xns+(30),30,120,5,"[4, 4]",4,0,"[-3, -7, -43, -67, -163]","[[2, 6], [3, 10], [5, 10]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",2,0,False,"[[2, 19, 1, 13], [11, 0, 19, 19], [27, 17, 23, 10]]"
32.96.5.bk.1,32.96.5.69,X678,16J5,,,,32,96,5,"[4, 4]",6,2,[-28],"[[2, 48]]",False,True,True,"[[1, 4], [1, 1]]",2,1,False,"[[9, 16, 22, 7], [17, 19, 0, 27], [23, 13, 2, 9], [25, 6, 0, 13]]"
32.96.5.bm.1,32.96.5.73,X672,16I5,,,,32,96,5,"[4, 4]",6,0,[-4],"[[2, 48]]",False,True,True,"[[1, 4], [1, 1]]",2,0,False,"[[1, 6, 12, 13], [1, 22, 20, 13], [3, 29, 14, 21], [7, 15, 12, 9]]"
32.96.5.bo.1,32.96.5.77,X683,16I5,,,,32,96,5,"[4, 4]",6,0,[-12],"[[2, 48]]",False,True,True,"[[1, 4], [1, 1]]",2,0,False,"[[9, 0, 14, 7], [17, 19, 18, 23], [25, 17, 26, 15], [31, 3, 30, 1]]"
32.96.5.bq.1,32.96.5.75,X689,32I5,,,,32,96,5,"[4, 4]",6,0,[-4],"[[2, 48]]",False,True,True,"[[1, 4], [1, 1]]",2,0,False,"[[7, 20, 6, 9], [13, 14, 12, 1], [17, 1, 30, 19], [21, 12, 26, 3]]"
32.96.5.br.1,32.96.5.9,X688,32I5,,,,32,96,5,"[4, 4]",6,0,[-3],"[[2, 48]]",False,True,True,"[[1, 4], [1, 1]]",2,0,False,"[[5, 13, 14, 19], [7, 29, 8, 25], [13, 12, 12, 17], [31, 15, 6, 17]]"
32.96.5.bs.1,32.96.5.19,X692,32H5,,,,32,96,5,"[4, 4]",6,2,[-7],"[[2, 48]]",False,True,True,"[[1, 4], [1, 1]]",2,1,False,"[[1, 12, 14, 15], [15, 19, 2, 17], [19, 19, 4, 13], [27, 0, 14, 17]]"
32.96.5.bu.1,32.96.5.71,X675,32E5,,,,32,96,5,"[4, 4]",4,2,[-28],"[[2, 48]]",False,True,True,"[[1, 4], [1, 1]]",2,1,False,"[[9, 19, 14, 23], [11, 18, 0, 23], [13, 13, 8, 19], [25, 2, 8, 13]]"
32.96.5.by.1,32.96.5.79,X695,32E5,,,,32,96,5,"[4, 4]",4,0,[-12],"[[2, 48]]",False,True,True,"[[1, 4], [1, 1]]",2,0,False,"[[5, 20, 30, 19], [11, 5, 22, 5], [15, 10, 26, 1], [17, 29, 10, 15]]"
32.96.5.bz.1,32.96.5.11,X679,32F5,,,,32,96,5,"[4, 4]",4,0,[-3],"[[2, 48]]",False,True,True,"[[1, 4], [1, 1]]",2,0,False,"[[13, 2, 30, 23], [13, 30, 18, 3], [21, 7, 8, 11], [27, 26, 2, 1]]"
